# Synthetic 64-atom MD run: 300 steps, 20 fs apart. Energies in kcal/mol.
step,time_ps,temperature_K,potential_E,kinetic_E,total_E
58,1.160,294.65,-2769.247,56.210,-2713.036
59,1.180,293.80,-2769.687,56.048,-2713.639
60,1.200,285.62,-2767.542,54.488,-2713.054
61,1.220,293.57,-2767.387,56.004,-2711.383
62,1.240,290.98,-2768.349,55.510,-2712.838
63,1.260,290.99,-2767.914,55.513,-2712.401
64,1.280,290.68,-2768.339,55.453,-2712.886
65,1.300,294.86,-2768.722,56.251,-2712.471
66,1.320,296.96,-2768.077,56.652,-2711.426
67,1.340,303.40,-2768.383,57.879,-2710.504
68,1.360,295.17,-2769.221,56.310,-2712.911
69,1.380,298.39,-2767.649,56.924,-2710.725
70,1.400,298.65,-2768.263,56.975,-2711.289
71,1.420,308.87,-2771.757,58.923,-2712.834
72,1.440,298.46,-2768.326,56.938,-2711.387
73,1.460,305.88,-2768.256,58.353,-2709.903
74,1.480,303.75,-2767.668,57.947,-2709.720
75,1.500,307.63,-2768.979,58.687,-2710.292
76,1.520,317.06,-2767.814,60.486,-2707.327
77,1.540,305.76,-2768.236,58.331,-2709.905
78,1.560,307.50,-2768.058,58.662,-2709.396
79,1.580,297.70,-2768.426,56.793,-2711.633
80,1.600,312.64,-2769.094,59.642,-2709.452
81,1.620,308.12,-2766.392,58.780,-2707.612
82,1.640,311.39,-2765.585,59.405,-2706.181
83,1.660,300.56,-2767.633,57.338,-2710.295
84,1.680,305.24,-2766.293,58.230,-2708.063
85,1.700,310.06,-2770.090,59.150,-2710.940
86,1.720,309.02,-2768.438,58.953,-2709.485
87,1.740,306.29,-2768.321,58.431,-2709.890
88,1.760,303.09,-2764.929,57.821,-2707.108
89,1.780,300.60,-2765.969,57.345,-2708.623
90,1.800,303.19,-2765.868,57.840,-2708.028
91,1.820,298.48,-2764.042,56.942,-2707.100
92,1.840,301.93,-2766.086,57.599,-2708.487
93,1.860,307.70,-2766.969,58.700,-2708.269
94,1.880,299.46,-2765.779,57.129,-2708.651
95,1.900,295.55,-2764.492,56.382,-2708.110
96,1.920,295.27,-2764.460,56.328,-2708.131
97,1.940,287.78,-2766.937,54.900,-2712.037
98,1.960,296.02,-2766.193,56.473,-2709.720
99,1.980,289.30,-2766.726,55.190,-2711.536
100,2.000,298.48,-2764.004,56.941,-2707.064
101,2.020,299.47,-2765.978,57.130,-2708.848
102,2.040,293.90,-2766.188,56.068,-2710.120
103,2.060,297.42,-2762.895,56.740,-2706.155
104,2.080,291.38,-2762.928,55.588,-2707.340
105,2.100,299.59,-2765.027,57.154,-2707.873
106,2.120,288.54,-2763.155,55.044,-2708.111
107,2.140,296.89,-2765.612,56.638,-2708.974
108,2.160,299.77,-2764.458,57.187,-2707.271
109,2.180,305.08,-2766.251,58.200,-2708.051
110,2.200,304.54,-2763.335,58.098,-2705.237
111,2.220,306.70,-2765.445,58.509,-2706.936
112,2.240,298.76,-2764.129,56.995,-2707.135
113,2.260,302.98,-2765.340,57.799,-2707.541
114,2.280,308.91,-2765.957,58.931,-2707.026
115,2.300,294.63,-2766.271,56.207,-2710.064
116,2.320,296.89,-2765.002,56.638,-2708.363
117,2.340,305.95,-2766.907,58.366,-2708.541
118,2.360,304.89,-2765.376,58.165,-2707.211
119,2.380,305.37,-2764.994,58.255,-2706.739
120,2.400,304.80,-2765.558,58.147,-2707.410
121,2.420,310.89,-2765.103,59.308,-2705.795
122,2.440,301.99,-2766.215,57.610,-2708.605
123,2.460,296.82,-2768.813,56.624,-2712.189
124,2.480,296.02,-2766.477,56.472,-2710.005
125,2.500,298.41,-2768.026,56.928,-2711.098
126,2.520,301.97,-2768.299,57.607,-2710.691
127,2.540,299.72,-2768.239,57.178,-2711.061
128,2.560,308.57,-2768.721,58.866,-2709.856
129,2.580,302.82,-2767.828,57.770,-2710.058
130,2.600,299.21,-2770.792,57.080,-2713.712
131,2.620,297.10,-2768.241,56.677,-2711.564
132,2.640,292.09,-2770.491,55.722,-2714.770
133,2.660,302.10,-2769.061,57.633,-2711.429
134,2.680,297.57,-2769.278,56.768,-2712.511
135,2.700,297.74,-2771.883,56.801,-2715.083
136,2.720,290.45,-2771.450,55.409,-2716.042
137,2.740,300.11,-2771.567,57.252,-2714.316
138,2.760,292.61,-2772.008,55.822,-2716.185
139,2.780,290.00,-2771.406,55.324,-2716.082
140,2.800,291.42,-2770.998,55.594,-2715.404
141,2.820,286.79,-2771.198,54.712,-2716.486
142,2.840,293.85,-2774.064,56.059,-2718.005
143,2.860,299.59,-2772.192,57.153,-2715.039
144,2.880,288.11,-2773.024,54.964,-2718.060
145,2.900,298.61,-2772.621,56.966,-2715.655
146,2.920,301.02,-2771.254,57.426,-2713.828
147,2.940,301.07,-2771.824,57.435,-2714.389
148,2.960,304.26,-2771.472,58.044,-2713.428
149,2.980,301.27,-2774.796,57.473,-2717.322
150,3.000,303.59,-2770.738,57.916,-2712.823
151,3.020,299.33,-2772.871,57.104,-2715.767
152,3.040,308.78,-2774.399,58.906,-2715.493
153,3.060,303.35,-2769.346,57.871,-2711.476
154,3.080,298.18,-2771.377,56.883,-2714.494
155,3.100,309.78,-2772.283,59.098,-2713.185
156,3.120,304.77,-2770.975,58.142,-2712.833
157,3.140,299.12,-2772.070,57.064,-2715.006
158,3.160,304.06,-2770.863,58.007,-2712.857
159,3.180,302.83,-2771.967,57.770,-2714.196
160,3.200,298.90,-2772.029,57.021,-2715.008
161,3.220,306.45,-2771.331,58.462,-2712.869
162,3.240,299.33,-2772.308,57.104,-2715.204
163,3.260,313.20,-2769.765,59.750,-2710.015
164,3.280,304.82,-2774.071,58.151,-2715.920
165,3.300,304.44,-2770.202,58.079,-2712.123
166,3.320,308.34,-2770.079,58.823,-2711.256
167,3.340,300.95,-2769.774,57.413,-2712.360
168,3.360,293.05,-2768.966,55.905,-2713.061
169,3.380,301.71,-2770.850,57.558,-2713.292
170,3.400,305.30,-2767.637,58.243,-2709.394
171,3.420,293.99,-2770.408,56.085,-2714.323
172,3.440,300.39,-2769.189,57.305,-2711.884
173,3.460,297.28,-2770.382,56.712,-2713.670
174,3.480,307.04,-2767.775,58.574,-2709.201
175,3.500,293.51,-2770.445,55.993,-2714.452
176,3.520,304.88,-2767.461,58.162,-2709.299
177,3.540,305.18,-2767.500,58.220,-2709.280
178,3.560,294.30,-2767.991,56.143,-2711.848
179,3.580,289.09,-2769.042,55.150,-2713.892
180,3.600,297.50,-2767.368,56.754,-2710.614
181,3.620,294.88,-2768.006,56.255,-2711.751
182,3.640,299.73,-2767.278,57.181,-2710.097
183,3.660,300.61,-2767.365,57.348,-2710.017
184,3.680,296.96,-2766.568,56.652,-2709.915
185,3.700,298.70,-2768.419,56.983,-2711.436
186,3.720,296.27,-2767.355,56.519,-2710.836
187,3.740,298.62,-2767.109,56.969,-2710.140
188,3.760,299.37,-2767.044,57.111,-2709.933
189,3.780,299.15,-2768.739,57.069,-2711.670
190,3.800,301.69,-2765.954,57.553,-2708.401
191,3.820,302.04,-2767.451,57.621,-2709.829
192,3.840,302.38,-2768.404,57.686,-2710.718
193,3.860,293.28,-2767.212,55.950,-2711.262
194,3.880,297.38,-2766.449,56.732,-2709.717
195,3.900,296.98,-2770.561,56.655,-2713.907
196,3.920,297.32,-2765.599,56.721,-2708.878
197,3.940,300.08,-2769.237,57.247,-2711.989
198,3.960,298.64,-2767.084,56.973,-2710.111
199,3.980,303.73,-2767.627,57.942,-2709.684
200,4.000,307.67,-2767.134,58.695,-2708.439
201,4.020,301.61,-2767.422,57.538,-2709.884
202,4.040,308.23,-2767.141,58.801,-2708.340
203,4.060,305.58,-2769.786,58.296,-2711.489
204,4.080,300.74,-2767.800,57.372,-2710.428
205,4.100,299.96,-2767.593,57.224,-2710.369
206,4.120,303.33,-2767.994,57.866,-2710.128
207,4.140,299.87,-2766.244,57.206,-2709.037
208,4.160,305.44,-2769.780,58.270,-2711.510
209,4.180,300.60,-2766.634,57.346,-2709.288
210,4.200,298.63,-2768.930,56.969,-2711.961
211,4.220,303.69,-2770.205,57.935,-2712.271
212,4.240,294.87,-2770.224,56.253,-2713.970
213,4.260,300.77,-2769.329,57.379,-2711.950
214,4.280,302.28,-2770.891,57.667,-2713.224
215,4.300,302.41,-2770.506,57.691,-2712.815
216,4.320,299.69,-2771.317,57.172,-2714.145
217,4.340,297.79,-2770.786,56.810,-2713.976
218,4.360,294.48,-2772.584,56.179,-2716.405
219,4.380,298.69,-2773.800,56.981,-2716.819
220,4.400,296.93,-2774.660,56.645,-2718.015
221,4.420,295.97,-2771.765,56.463,-2715.302
222,4.440,301.03,-2772.700,57.429,-2715.271
223,4.460,297.93,-2774.511,56.837,-2717.675
224,4.480,306.29,-2772.357,58.431,-2713.926
225,4.500,303.49,-2774.188,57.898,-2716.290
226,4.520,298.54,-2775.452,56.952,-2718.500
227,4.540,302.57,-2772.272,57.722,-2714.550
228,4.560,292.04,-2773.568,55.713,-2717.855
229,4.580,302.34,-2775.716,57.677,-2718.039
230,4.600,292.70,-2774.960,55.838,-2719.122
231,4.620,297.66,-2775.431,56.785,-2718.645
232,4.640,300.48,-2773.496,57.322,-2716.174
233,4.660,303.04,-2772.985,57.812,-2715.173
234,4.680,306.66,-2772.446,58.502,-2713.945
235,4.700,295.52,-2774.449,56.377,-2718.072
236,4.720,296.63,-2775.118,56.588,-2718.529
237,4.740,300.62,-2773.786,57.350,-2716.436
238,4.760,302.96,-2775.647,57.795,-2717.851
239,4.780,296.07,-2773.705,56.482,-2717.224
240,4.800,300.22,-2773.970,57.274,-2716.697
241,4.820,300.74,-2774.413,57.373,-2717.041
242,4.840,303.75,-2772.967,57.947,-2715.021
243,4.860,300.52,-2774.076,57.331,-2716.745
244,4.880,300.08,-2776.399,57.248,-2719.152
245,4.900,296.75,-2772.941,56.611,-2716.330
246,4.920,294.54,-2772.587,56.189,-2716.398
247,4.940,301.01,-2774.310,57.424,-2716.886
248,4.960,299.28,-2772.856,57.094,-2715.761
249,4.980,301.98,-2771.558,57.609,-2713.949
250,5.000,299.85,-2773.120,57.204,-2715.917
251,5.020,299.29,-2771.977,57.095,-2714.882
252,5.040,302.67,-2771.341,57.741,-2713.601
253,5.060,296.72,-2773.111,56.606,-2716.506
254,5.080,298.01,-2772.164,56.852,-2715.312
255,5.100,294.96,-2771.202,56.270,-2714.932
256,5.120,297.37,-2770.724,56.730,-2713.995
257,5.140,301.37,-2771.135,57.493,-2713.643
258,5.160,308.53,-2770.817,58.860,-2711.957
259,5.180,303.63,-2770.080,57.923,-2712.157
260,5.200,303.68,-2772.876,57.934,-2714.942
261,5.220,296.23,-2769.534,56.513,-2713.021
262,5.240,301.69,-2766.839,57.553,-2709.285
263,5.260,300.62,-2767.927,57.350,-2710.577
264,5.280,302.47,-2768.155,57.702,-2710.453
265,5.300,301.52,-2769.318,57.522,-2711.796
266,5.320,301.61,-2770.275,57.539,-2712.736
267,5.340,304.40,-2770.064,58.071,-2711.993
268,5.360,300.78,-2766.173,57.380,-2708.793
269,5.380,299.00,-2768.583,57.040,-2711.542
270,5.400,304.65,-2768.477,58.119,-2710.358
271,5.420,296.87,-2768.115,56.635,-2711.480
272,5.440,302.53,-2767.504,57.715,-2709.789
273,5.460,297.21,-2766.201,56.699,-2709.502
274,5.480,307.05,-2768.245,58.576,-2709.669
275,5.500,301.53,-2768.760,57.523,-2711.237
276,5.520,306.17,-2769.087,58.408,-2710.679
277,5.540,303.25,-2768.828,57.852,-2710.977
278,5.560,297.81,-2767.418,56.813,-2710.605
279,5.580,305.93,-2768.337,58.363,-2709.974
280,5.600,297.89,-2767.411,56.828,-2710.583
281,5.620,300.38,-2768.088,57.305,-2710.783
282,5.640,306.65,-2767.194,58.499,-2708.695
283,5.660,298.43,-2765.917,56.932,-2708.985
284,5.680,300.47,-2767.835,57.321,-2710.513
285,5.700,297.81,-2768.965,56.813,-2712.153
286,5.720,293.32,-2766.915,55.958,-2710.957
287,5.740,305.71,-2770.676,58.321,-2712.356
288,5.760,294.15,-2771.334,56.114,-2715.219
289,5.780,304.79,-2770.121,58.144,-2711.977
290,5.800,299.76,-2770.136,57.185,-2712.951
291,5.820,299.43,-2771.265,57.123,-2714.142
292,5.840,299.94,-2771.892,57.220,-2714.672
293,5.860,299.49,-2770.009,57.133,-2712.876
294,5.880,301.58,-2770.876,57.533,-2713.344
295,5.900,296.04,-2770.629,56.476,-2714.153
296,5.920,297.67,-2769.167,56.787,-2712.380
297,5.940,302.65,-2771.412,57.736,-2713.676
298,5.960,297.67,-2772.345,56.787,-2715.558
299,5.980,295.79,-2772.152,56.429,-2715.723
